"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 20:39:45 GMT 2024","Tue Jan 16 20:39:49 GMT 2024","4090","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Tue Jan 16 20:39:40 GMT 2024","Tue Jan 16 20:39:43 GMT 2024","3122","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Tue Jan 16 20:39:43 GMT 2024","Tue Jan 16 20:39:45 GMT 2024","2393","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Tue Jan 16 20:39:49 GMT 2024","Tue Jan 16 20:39:52 GMT 2024","2334","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
