"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 12:26:59 ART 2024","Wed Jan 17 12:27:08 ART 2024","8647","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Jan 17 12:26:59 ART 2024","Wed Jan 17 12:27:11 ART 2024","12431","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 17 12:26:59 ART 2024","Wed Jan 17 12:27:13 ART 2024","13984","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Jan 17 12:26:59 ART 2024","Wed Jan 17 12:27:11 ART 2024","12376","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
