"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 15:29:50 GMT 2024","Wed Jan 17 15:30:03 GMT 2024","13347","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 17 15:29:50 GMT 2024","Wed Jan 17 15:30:02 GMT 2024","12596","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Jan 17 15:29:50 GMT 2024","Wed Jan 17 15:30:01 GMT 2024","11065","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Jan 17 15:30:50 GMT 2024","Wed Jan 17 15:33:10 GMT 2024","139561","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
